"gene_id.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","symbol","gene_id.y","C_elegans_males_N2_biorep_1","C_elegans_males_N2_biorep_2","C_elegans_N2_biorep_1","C_elegans_N2_biorep_2","gene_id","C_elegans_males_N2_biorep_3","C_elegans_N2_biorep_3"
"vit-3",603.113911071276,-5.68749935744104,0.314955591737652,-17.9378037070737,5.97712645184121e-72,5.43141480678811e-68,"Sig","vit-3","WBGene00006927",18.5183304860251,24.0220281087291,1214.48812068174,1155.42716500861,"vit-3",NA,NA
"vit-5",642.109406912544,-4.87398353845299,0.282610739073468,-17.196858115796,2.8032521828154e-66,1.27365762926218e-62,"Sig","vit-5","WBGene00006929",31.4811618262426,47.3375259789662,1205.20540893131,1284.41353091366,"vit-5",NA,NA
"vit-4",541.72703319005,-5.45412321285775,0.325183959090282,-16.672916324174,2.06279921071243e-62,6.24821880924795e-59,"Sig","vit-4","WBGene00006928",12.9628313402175,28.9677397781734,1045.85219054886,1079.12537109295,"vit-4",NA,NA
"vit-6",879.077503014745,-4.43162447226982,0.271937642089435,-16.2740061807077,1.50950322186544e-59,3.42921394427281e-56,"Sig","vit-6","WBGene00006930",51.8513253608702,93.9685217194404,1660.05828470256,1710.43188027611,"vit-6",NA,NA
"vit-1",416.955986121182,-5.22976277476093,0.340576390628338,-15.2579128424466,1.45838958660138e-52,2.65047723468934e-49,"Sig","vit-1","WBGene00006925",11.110998291615,26.1416188242052,786.709820849254,843.861506519654,"vit-1",NA,NA
"nspa-4",483.264949564066,4.0326360113276,0.27279673153731,14.7653698719771,2.44974647287091e-49,3.71014103316299e-46,"Sig","nspa-4","WBGene00044272",818.510207482308,1004.68599913567,47.1871180647045,62.6764735735803,"nspa-4",NA,NA
"vit-2",719.197245030739,-4.35499241281155,0.299930658085765,-14.4966506153954,1.27207285053998e-47,1.65133228469382e-44,"Sig","vit-2","WBGene00006926",37.0366609720501,86.196689096028,1405.55727087817,1347.99835917671,"vit-2",NA,NA
"Y59E9AR.7",751.018340089167,2.97959766398641,0.231125651707626,12.8887386703271,5.20887665726141e-38,5.91663277306681e-35,"Sig","Y59E9AR.7","WBGene00022002",1437.02244571555,1232.8952661686,177.918641883312,156.237006589215,"Y59E9AR.7",NA,NA
"msp-79",491.769990816424,3.19298970006772,0.250025598706438,12.7646601058357,2.58275570830644e-37,2.60772234682006e-34,"Sig","msp-79","WBGene00003466",853.695035405755,922.021961232103,105.977625817451,85.3853408103848,"msp-79",NA,NA
"cpr-1",235.831662726491,4.02658648008485,0.328096829984135,12.240995328235,1.87716385817458e-34,1.70577879792324e-31,"Sig","cpr-1","WBGene00000781",381.477608012116,508.701771714264,28.6216945638372,24.5255766157488,"cpr-1",NA,NA
"msp-77",481.231768241779,2.98587269211126,0.246533649929053,12.1068231916941,9.71857407353473e-34,8.02842569147364e-31,"Sig","msp-77","WBGene00003464",818.510207482308,893.05422145393,115.260337567885,1,"msp-77",NA,NA
"msp-19",653.711109530619,2.74734068623811,0.227928789404034,12.0510657158531,1.91458358936885e-33,1.44981842304956e-30,"Sig","msp-19","WBGene00003426",1120.35899440452,1158.00306088844,159.353218382445,177.129164447075,"msp-19",NA,NA
"msp-59",705.778707117326,2.79418331409381,0.23335015286672,11.9717914548732,4.99385785654564e-33,3.4907066417254e-30,"Sig","msp-59","WBGene00003452",1149.98832318216,1320.50501574161,191.842709508963,160.778780036576,"msp-59",NA,NA
"msp-53",569.332482172555,2.77044787267379,0.234168515298504,11.8280991216665,2.79397385001644e-32,1.81348859822139e-29,"Sig","msp-53","WBGene00003446",940.731188690073,1047.78434368368,146.20271006933,142.611686247132,"msp-53",NA,NA
"msp-57",644.950938816592,2.70275310523889,0.228847103838263,11.8079698714134,3.55030239116184e-32,2.15077318856584e-29,"Sig","msp-57","WBGene00003450",1057.39667075203,1181.31855875868,169.409489445415,171.679036310242,"msp-57",NA,NA
"msp-10",448.350210020057,3.02138120141945,0.257451576372524,11.730717897747,8.87031362224207e-32,4.99461142402479e-29,"Sig","msp-10","WBGene00003425",709.25205761476,889.52157026147,102.883388567307,91.74382363669,"msp-10",NA,NA
"msp-81",701.498580755621,2.96197415845656,0.252529779569738,11.726314289098,9.34394125766715e-32,4.99461142402479e-29,"Sig","msp-81","WBGene00003467",1151.84015623076,1338.8748019424,187.201353633746,128.078011215577,"msp-81",NA,NA
"msp-78",509.201739347926,3.01703058207031,0.258088228114203,11.6855927391872,1.51022298189866e-31,7.62410902028506e-29,"Sig","msp-78","WBGene00003465",840.732204065538,975.011729119006,128.410845880999,92.6521783261622,"msp-78",NA,NA
"msp-56",500.790595906076,3.0072961425221,0.26102464175046,11.5168205623025,1.08542607046979e-30,5.19119300124156e-28,"Sig","msp-56","WBGene00003449",794.436377850475,989.848864127338,125.316608630855,93.5605330156344,"msp-56",NA,NA
